id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
MA:0002893	MA:0002450		adult_mouse_anatomy.gxd		amniotic fluid											
MA:0000059	MA:0002450		adult_mouse_anatomy.gxd		blood											
MA:0002503	MA:0002450		adult_mouse_anatomy.gxd		cerebrospinal fluid											
MA:0002512	MA:0002450		adult_mouse_anatomy.gxd		digestive system fluid or secretion											
MA:0002504	MA:0002450		adult_mouse_anatomy.gxd		exocrine gland fluid/secretion											
MA:0002509	MA:0002450		adult_mouse_anatomy.gxd		feces											
MA:0002510	MA:0002450		adult_mouse_anatomy.gxd		female reproductive system fluid/secretion											
MA:0002520	MA:0002450		adult_mouse_anatomy.gxd		lymph											
MA:0002521	MA:0002450		adult_mouse_anatomy.gxd		male reproductive system fluid/secretion											
MA:0001911	MA:0002450		adult_mouse_anatomy.gxd		ocular refractive media											
MA:0002527	MA:0002450		adult_mouse_anatomy.gxd		otolymph											
MA:0002530	MA:0002450		adult_mouse_anatomy.gxd		pericardial fluid											
MA:0002531	MA:0002450		adult_mouse_anatomy.gxd		peritoneal fluid											
MA:0002532	MA:0002450		adult_mouse_anatomy.gxd		pleural fluid											
MA:0002533	MA:0002450		adult_mouse_anatomy.gxd		respiratory system fluid/secretion											
MA:0002537	MA:0002450		adult_mouse_anatomy.gxd		skin fluid/secretion											
MA:0002544	MA:0002450		adult_mouse_anatomy.gxd		synovial fluid											
MA:0002540	MA:0002450		adult_mouse_anatomy.gxd		tooth substance											
MA:0002545	MA:0002450		adult_mouse_anatomy.gxd		urine											
MA:0001585	MA:0002478		adult_mouse_anatomy.gxd		parotid gland											
MA:0001588	MA:0002478		adult_mouse_anatomy.gxd		sublingual gland											
MA:0001589	MA:0002478		adult_mouse_anatomy.gxd		submandibular gland											
MA:0002700	MA:0002479		adult_mouse_anatomy.gxd		anterior buccal gland											
MA:0002701	MA:0002479		adult_mouse_anatomy.gxd		anterior lingual gland											
MA:0001584	MA:0002479		adult_mouse_anatomy.gxd		palatine gland											
MA:0000472	MA:0002481		adult_mouse_anatomy.gxd		abdominal fat pad											
MA:0003091	MA:0002481		adult_mouse_anatomy.gxd		axillary fat pad											
MA:0002550	MA:0002481		adult_mouse_anatomy.gxd		epididymal fat pad											
MA:0002547	MA:0002481		adult_mouse_anatomy.gxd		gonadal fat pad											
MA:0002548	MA:0002481		adult_mouse_anatomy.gxd		inguinal fat pad											
MA:0003063	MA:0002481		adult_mouse_anatomy.gxd		mediastinal fat pad											
MA:0003029	MA:0002481		adult_mouse_anatomy.gxd		pancreatic fat pad											
MA:0002953	MA:0002481		adult_mouse_anatomy.gxd		parametrial fat pad											
MA:0003064	MA:0002481		adult_mouse_anatomy.gxd		periovarian fat pad											
MA:0002549	MA:0002481		adult_mouse_anatomy.gxd		retroperitoneal fat pad											
MA:0002506	MA:0002504		adult_mouse_anatomy.gxd		cerumen											
MA:0002505	MA:0002504		adult_mouse_anatomy.gxd		mammary gland fluid/secretion											
MA:0002507	MA:0002504		adult_mouse_anatomy.gxd		saliva											
MA:0002508	MA:0002504		adult_mouse_anatomy.gxd		tear											
MA:0002551	MA:0002505		adult_mouse_anatomy.gxd		colostrum											
MA:0002552	MA:0002505		adult_mouse_anatomy.gxd		mammary gland milk											
MA:0002511	MA:0002510		adult_mouse_anatomy.gxd		ovary follicle fluid											
MA:0002513	MA:0002512		adult_mouse_anatomy.gxd		bile											
MA:0002514	MA:0002512		adult_mouse_anatomy.gxd		esophagus secretion											
MA:0002515	MA:0002512		adult_mouse_anatomy.gxd		intestine secretion											
MA:0002516	MA:0002512		adult_mouse_anatomy.gxd		pancreas secretion											
MA:0002519	MA:0002512		adult_mouse_anatomy.gxd		stomach secretion											
MA:0002517	MA:0002516		adult_mouse_anatomy.gxd		endocrine pancreas secretion											
MA:0002518	MA:0002516		adult_mouse_anatomy.gxd		exocrine pancreas secretion											
MA:0002522	MA:0002521		adult_mouse_anatomy.gxd		semen											
MA:0002528	MA:0002527		adult_mouse_anatomy.gxd		endolymph											
MA:0002529	MA:0002527		adult_mouse_anatomy.gxd		perilymph											
MA:0002534	MA:0002533		adult_mouse_anatomy.gxd		lung surfactant											
MA:0002535	MA:0002533		adult_mouse_anatomy.gxd		nasal mucus											
MA:0002536	MA:0002533		adult_mouse_anatomy.gxd		sputum											
MA:0002538	MA:0002537		adult_mouse_anatomy.gxd		sebum											
MA:0002539	MA:0002537		adult_mouse_anatomy.gxd		sweat											
MA:0002541	MA:0002540		adult_mouse_anatomy.gxd		cementum											
MA:0002542	MA:0002540		adult_mouse_anatomy.gxd		dentin											
MA:0002543	MA:0002540		adult_mouse_anatomy.gxd		enamel											
MA:0000116	MA:0002563		adult_mouse_anatomy.gxd		adrenal gland											
MA:0001582	MA:0002563		adult_mouse_anatomy.gxd		endocrine pancreas											
MA:0000720	MA:0002563		adult_mouse_anatomy.gxd		neuroendocrine gland											
MA:0000128	MA:0002563		adult_mouse_anatomy.gxd		parathyroid gland											
MA:0000129	MA:0002563		adult_mouse_anatomy.gxd		thyroid gland											
MA:0003040	MA:0002564		adult_mouse_anatomy.gxd		apocrine gland											
MA:0001551	MA:0002564		adult_mouse_anatomy.gxd		brunner's gland											
MA:0000401	MA:0002564		adult_mouse_anatomy.gxd		bulbourethral gland											
MA:0002415	MA:0002564		adult_mouse_anatomy.gxd		exocrine pancreas											
MA:0003042	MA:0002564		adult_mouse_anatomy.gxd		holocrine gland											
MA:0001296	MA:0002564		adult_mouse_anatomy.gxd		lacrimal gland											
MA:0000145	MA:0002564		adult_mouse_anatomy.gxd		mammary gland											
MA:0003041	MA:0002564		adult_mouse_anatomy.gxd		merocrine gland											
MA:0000404	MA:0002564		adult_mouse_anatomy.gxd		prostate gland											
